"sep=,"
"Category","Business Impact","Recommendation","Subscription ID","Subscription Name","Resource Group","Resource Name","Type","Last refreshed on","Potential benefits","Potential Annual Cost Savings","Potential Cost Savings Currency","Cost implications (Preview)","Description of changes"
"Security","High","Disabled accounts with read and write permissions on Azure resources should be removed","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","No resource group","f57dd007-619a-46d5-bee5-26fe30ca14c9","Subscription","N/A","Prevent potential security breaches","","","No data",""
"Reliability","High","Create an Azure Service Health alert","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","No resource group","9488b143-b2fa-4486-b0db-5902bbe7cf00","Subscription","2026-07-17T21:04:31.6832065Z","Get alerts on service, security, and health issues","","","No data",""
"Security","High","Disabled accounts with read and write permissions on Azure resources should be removed","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","No resource group","9488b143-b2fa-4486-b0db-5902bbe7cf00","Subscription","N/A","Prevent potential security breaches","","","No data",""
"Security","High","There should be more than one owner assigned to subscriptions","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","No resource group","9488b143-b2fa-4486-b0db-5902bbe7cf00","Subscription","N/A","Prevent potential security breaches","","","No data",""
"Reliability","Medium","Align location of resource and resource group","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","testvm","Virtual machine","2026-07-17T17:15:50.9791596Z","Reduce the impact of regional outages","","","No data",""
"Performance","Medium","Upgrade to the current generation virtual machines","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","testvm","Virtual machine","2026-07-17T14:35:00.0796754Z","5 VM offers improved core, storage, and network performance","","","No data",""
"Operational excellence","High","Enable Trusted Launch foundational excellence, and modern security for Existing Generation 2 VM(s)","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","testvm","Virtual machine","2026-07-17T22:12:38.5621427Z","Boost Gen2 VM security by protecting against rootkits","","","No data",""
"Reliability","High","Enable zone redundancy for storage accounts to improve high availability and resiliency","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","rbaclabstgxyz","Storage Account","2026-07-17T20:34:40.7149346Z","Achieve higher availability for the application.","","","Medium","ZRS are priced higher than LRS due to the infrastructure needed for cross-zone replication. 
 Manual migration may involve costs for data movement tools and temporary duplication of storage resources."
"Security","Medium","Machines should have a vulnerability assessment solution","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","testvm","Virtual machine","N/A","Prevent potential security breaches","","","No data",""
"Security","Low","Subnets should be associated with a network security group","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","default","Subnet","2026-07-17T22:22:03.9241304Z","Prevent potential security breaches","","","No data",""
"Reliability","Medium","Use NAT gateway for outbound connectivity","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","private","Virtual network","2026-07-17T11:16:06.6289721Z","Prevent outbound connection failures with NAT gateway","","","No data",""
"Security","High","Internet-facing virtual machines should be protected with network security groups","9488b143-b2fa-4486-b0db-5902bbe7cf00","Azure subscription 1 (9488b143-b2fa-4486-b0db-5902bbe7cf00)","rg-rbac-lab","testvm","Virtual machine","2026-07-17T20:40:49.1286818Z","Prevent potential security breaches","","","No data",""